1.1117e+9, 8.7940e+27
1.2142e+9, 1.1130e+28
1.3498e+9, 1.5184e+28
1.5005e+9, 2.0276e+28
1.6978e+9, 2.7958e+28
1.9041e+9, 3.8967e+28
2.1544e+9, 5.3732e+28
2.4377e+9, 7.2521e+28
2.6625e+9, 9.1789e+28
2.9338e+9, 1.1494e+29
3.2044e+9, 1.4088e+29
3.5310e+9, 1.7453e+29
4.0305e+9, 2.2327e+29
4.6416e+9, 2.7366e+29
5.4404e+9, 3.2831e+29
6.4902e+9, 3.6542e+29
8.0918e+9, 3.8141e+29
9.4011e+9, 3.7333e+29
1.1019e+10, 3.5386e+29
1.3860e+10, 3.2135e+29
1.6978e+10, 2.8871e+29
1.9900e+10, 2.6218e+29
2.3531e+10, 2.3809e+29
2.8072e+10, 2.1391e+29
3.3195e+10, 1.9425e+29
4.2496e+10, 1.6901e+29
5.2983e+10, 1.4863e+29
6.4332e+10, 1.3211e+29
8.1635e+10, 1.1494e+29
1.0451e+11, 9.8935e+28
1.2578e+11, 8.8887e+28
1.5682e+11, 7.8167e+28
1.6534e+11, 7.5695e+28
